date,country,confirmed,deaths,death_rate,days_since100
2020-03-01,France,130,2,0.015384615384615385,0
2020-03-02,France,191,3,0.015706806282722512,1
2020-03-03,France,204,4,0.0196078431372549,2
2020-03-04,France,288,4,0.013888888888888888,3
2020-03-05,France,380,6,0.015789473684210527,4
2020-03-06,France,656,9,0.013719512195121951,5
2020-03-07,France,957,11,0.011494252873563218,6
2020-03-08,France,1134,19,0.01675485008818342,7
2020-03-09,France,1217,19,0.015612161051766639,8
2020-03-10,France,1792,33,0.018415178571428572,9
2020-03-11,France,2290,48,0.02096069868995633,10
2020-03-12,France,2290,48,0.02096069868995633,11
2020-03-13,France,3678,79,0.021479064709081022,12
2020-03-14,France,4487,91,0.0202808112324493,13
2020-03-15,France,4523,91,0.02011938978554057,14
2020-03-16,France,6668,148,0.022195560887822437,15
2020-03-17,France,7699,148,0.019223275750097416,16
2020-03-18,France,9105,148,0.016254805052169138,17
2020-03-19,France,10947,243,0.022197862428062484,18
2020-03-01,Germany,130,0,0.0,0
2020-03-02,Germany,159,0,0.0,1
2020-03-03,Germany,196,0,0.0,2
2020-03-04,Germany,262,0,0.0,3
2020-03-05,Germany,482,0,0.0,4
2020-03-06,Germany,670,0,0.0,5
2020-03-07,Germany,799,0,0.0,6
2020-03-08,Germany,1040,0,0.0,7
2020-03-09,Germany,1176,2,0.0017006802721088435,8
2020-03-10,Germany,1457,2,0.0013726835964310226,9
2020-03-11,Germany,1908,3,0.0015723270440251573,10
2020-03-12,Germany,2078,3,0.0014436958614051972,11
2020-03-13,Germany,3675,7,0.0019047619047619048,12
2020-03-14,Germany,4585,9,0.0019629225736095966,13
2020-03-15,Germany,5795,11,0.0018981880931837791,14
2020-03-16,Germany,7272,17,0.0023377337733773377,15
2020-03-17,Germany,9257,24,0.0025926326023549746,16
2020-03-18,Germany,12327,28,0.002271436683702442,17
2020-03-19,Germany,15320,44,0.0028720626631853785,18
2020-02-23,Italy,155,3,0.01935483870967742,0
2020-02-24,Italy,229,7,0.03056768558951965,1
2020-02-25,Italy,322,10,0.031055900621118012,2
2020-02-26,Italy,453,12,0.026490066225165563,3
2020-02-27,Italy,655,17,0.025954198473282442,4
2020-02-28,Italy,888,21,0.02364864864864865,5
2020-02-29,Italy,1128,29,0.025709219858156027,6
2020-03-01,Italy,1694,34,0.020070838252656435,7
2020-03-02,Italy,2036,52,0.025540275049115914,8
2020-03-03,Italy,2502,79,0.03157474020783373,9
2020-03-04,Italy,3089,107,0.03463904176108773,10
2020-03-05,Italy,3858,148,0.0383618455158113,11
2020-03-06,Italy,4636,197,0.042493528904227786,12
2020-03-07,Italy,5883,233,0.039605643379228284,13
2020-03-08,Italy,7375,366,0.0496271186440678,14
2020-03-09,Italy,9172,463,0.050479720889664195,15
2020-03-10,Italy,10149,631,0.062173613163858506,16
2020-03-11,Italy,12462,827,0.06636173968865351,17
2020-03-12,Italy,12462,827,0.06636173968865351,18
2020-03-13,Italy,17660,1266,0.07168742921857305,19
2020-03-14,Italy,21157,1441,0.06810984544122513,20
2020-03-15,Italy,24747,1809,0.0730997696690508,21
2020-03-16,Italy,27980,2158,0.0771265189421015,22
2020-03-17,Italy,31506,2503,0.07944518504411859,23
2020-03-18,Italy,35713,2978,0.08338700193206955,24
2020-03-19,Italy,41035,3405,0.08297794565614719,25
2020-02-20,"Korea, South",104,1,0.009615384615384616,0
2020-02-21,"Korea, South",204,2,0.00980392156862745,1
2020-02-22,"Korea, South",433,2,0.004618937644341801,2
2020-02-23,"Korea, South",602,6,0.009966777408637873,3
2020-02-24,"Korea, South",833,8,0.009603841536614645,4
2020-02-25,"Korea, South",977,10,0.01023541453428864,5
2020-02-26,"Korea, South",1261,12,0.00951625693893735,6
2020-02-27,"Korea, South",1766,13,0.007361268403171008,7
2020-02-28,"Korea, South",2337,13,0.005562687205819427,8
2020-02-29,"Korea, South",3150,16,0.005079365079365079,9
2020-03-01,"Korea, South",3736,17,0.004550321199143469,10
2020-03-02,"Korea, South",4335,28,0.006459054209919262,11
2020-03-03,"Korea, South",5186,28,0.005399151561897416,12
2020-03-04,"Korea, South",5621,35,0.0062266500622665,13
2020-03-05,"Korea, South",6088,35,0.005749014454664914,14
2020-03-06,"Korea, South",6593,42,0.006370392840891855,15
2020-03-07,"Korea, South",7041,44,0.0062491123419968755,16
2020-03-08,"Korea, South",7314,50,0.006836204539239814,17
2020-03-09,"Korea, South",7478,53,0.007087456539181599,18
2020-03-10,"Korea, South",7513,54,0.007187541594569413,19
2020-03-11,"Korea, South",7755,60,0.007736943907156673,20
2020-03-12,"Korea, South",7869,66,0.008387342737323675,21
2020-03-13,"Korea, South",7979,66,0.008271713247274095,22
2020-03-14,"Korea, South",8086,72,0.008904279000742024,23
2020-03-15,"Korea, South",8162,75,0.009188924283263906,24
2020-03-16,"Korea, South",8236,75,0.009106362311801846,25
2020-03-17,"Korea, South",8320,81,0.009735576923076923,26
2020-03-18,"Korea, South",8413,84,0.009984547723760846,27
2020-03-19,"Korea, South",8565,91,0.010624635143023935,28
2020-03-02,Spain,120,0,0.0,0
2020-03-03,Spain,165,1,0.006060606060606061,1
2020-03-04,Spain,222,2,0.009009009009009009,2
2020-03-05,Spain,259,3,0.011583011583011582,3
2020-03-06,Spain,400,5,0.0125,4
2020-03-07,Spain,500,10,0.02,5
2020-03-08,Spain,673,17,0.02526002971768202,6
2020-03-09,Spain,1073,28,0.0260950605778192,7
2020-03-10,Spain,1695,35,0.02064896755162242,8
2020-03-11,Spain,2277,54,0.023715415019762844,9
2020-03-12,Spain,2277,55,0.024154589371980676,10
2020-03-13,Spain,5232,133,0.025420489296636085,11
2020-03-14,Spain,6391,195,0.030511657017681115,12
2020-03-15,Spain,7798,289,0.037060784816619646,13
2020-03-16,Spain,9942,342,0.0343995171997586,14
2020-03-17,Spain,11748,533,0.04536942458290773,15
2020-03-18,Spain,13910,623,0.04478792235801582,16
2020-03-19,Spain,17963,830,0.046206090296721035,17
2020-03-03,US,118,7,0.059322033898305086,0
2020-03-04,US,149,11,0.0738255033557047,1
2020-03-05,US,217,12,0.055299539170506916,2
2020-03-06,US,262,14,0.05343511450381679,3
2020-03-07,US,402,17,0.04228855721393035,4
2020-03-08,US,518,21,0.04054054054054054,5
2020-03-09,US,583,22,0.03773584905660377,6
2020-03-10,US,959,28,0.029197080291970802,7
2020-03-11,US,1281,36,0.02810304449648712,8
2020-03-12,US,1663,40,0.024052916416115455,9
2020-03-13,US,2179,47,0.021569527306103717,10
2020-03-14,US,2727,54,0.019801980198019802,11
2020-03-15,US,3499,63,0.018005144326950558,12
2020-03-16,US,4632,85,0.018350604490500865,13
2020-03-17,US,6421,108,0.01681980999844261,14
2020-03-18,US,7783,118,0.015161248875754851,15
2020-03-19,US,13677,200,0.014623089858887182,16
2020-03-05,United Kingdom,116,1,0.008620689655172414,0
2020-03-06,United Kingdom,164,2,0.012195121951219513,1
2020-03-07,United Kingdom,207,2,0.00966183574879227,2
2020-03-08,United Kingdom,274,3,0.010948905109489052,3
2020-03-09,United Kingdom,322,4,0.012422360248447204,4
2020-03-10,United Kingdom,384,6,0.015625,5
2020-03-11,United Kingdom,459,8,0.017429193899782137,6
2020-03-12,United Kingdom,459,8,0.017429193899782137,7
2020-03-13,United Kingdom,802,8,0.00997506234413965,8
2020-03-14,United Kingdom,1144,21,0.018356643356643356,9
2020-03-15,United Kingdom,1145,21,0.01834061135371179,10
2020-03-16,United Kingdom,1551,56,0.036105738233397806,11
2020-03-17,United Kingdom,1960,56,0.02857142857142857,12
2020-03-18,United Kingdom,2642,72,0.02725208175624527,13
2020-03-19,United Kingdom,2716,138,0.0508100147275405,14
